ablation,fold,metric,primary,ablation_value,degradation_positive_is_worse
no_cancer_conditioning,2,integrated_ipcw_ece,0.03591116243722868,0.03540241395883464,-0.000508748478394043
no_cancer_conditioning,3,integrated_ipcw_ece,0.05273268332032244,0.045543271441951416,-0.0071894118783710215
no_cancer_conditioning,4,integrated_ipcw_ece,0.033677141976982405,0.0364870684825282,0.002809926505545797
no_cancer_conditioning,5,integrated_ipcw_ece,0.02682208289718735,0.033500998069553665,0.006678915172366316
no_pathway_bias,1,c_index,0.7850380783410034,0.7856929215751586,-0.0006548432341552113
no_pathway_bias,2,c_index,0.7777968656052099,0.7858955581014255,-0.008098692496215643
no_pathway_bias,3,c_index,0.7963570860759408,0.794031076036895,0.002326010039045756
no_pathway_bias,4,c_index,0.7891350258967305,0.7898408463630825,-0.0007058204663520362
no_pathway_bias,5,c_index,0.7795952288048082,0.7753795807850095,0.00421564801979879
no_pathway_bias,1,cancer_stratified_c_index,0.6609993255395683,0.666957059352518,-0.005957733812949728
no_pathway_bias,2,cancer_stratified_c_index,0.6454569183028335,0.6652649285113541,-0.019808010208520632
no_pathway_bias,3,cancer_stratified_c_index,0.6708661417322834,0.6640711577719451,0.0067949839603382856
no_pathway_bias,4,cancer_stratified_c_index,0.6470399720312318,0.6514392261974129,-0.0043992541661811435
no_pathway_bias,5,cancer_stratified_c_index,0.6380244532070012,0.6372585174888655,0.0007659357181356574
no_pathway_bias,1,ibs,0.13460116182750068,0.1328733462942721,-0.001727815533228566
no_pathway_bias,2,ibs,0.1368185496019908,0.13546730589575431,-0.001351243706236488
no_pathway_bias,3,ibs,0.13073443425611928,0.12730329343815538,-0.0034311408179638903
no_pathway_bias,4,ibs,0.1327019978723302,0.13240739920584055,-0.0002945986664896483
no_pathway_bias,5,ibs,0.14002694563299148,0.1426646772395364,0.0026377316065449297
no_pathway_bias,1,mean_time_dependent_auc,0.818744228011904,0.8205082791177248,-0.0017640511058207853
no_pathway_bias,2,mean_time_dependent_auc,0.8114046339221076,0.8177672832176444,-0.00636264929553676
no_pathway_bias,3,mean_time_dependent_auc,0.8296537344427537,0.8278995901140238,0.0017541443287298897
no_pathway_bias,4,mean_time_dependent_auc,0.8212384445035954,0.8222503935884992,-0.0010119490849037627
no_pathway_bias,5,mean_time_dependent_auc,0.8112915930477423,0.8059307963720124,0.005360796675729973
no_pathway_bias,1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.6663864984310991,-0.00792784420500714
no_pathway_bias,2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6963273210265987,-0.022238736293393457
no_pathway_bias,3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.7038244375627907,0.012090482541184167
no_pathway_bias,4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6928697199640577,-0.006372354053959639
no_pathway_bias,5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6545288226706224,0.0005434457166869633
no_pathway_bias,1,integrated_ipcw_ece,0.03172344245323376,0.02350353072456424,-0.00821991172866952
no_pathway_bias,2,integrated_ipcw_ece,0.03591116243722868,0.0466890053061443,0.010777842868915623
